"matter","qcasenumber"
"100740-0055-03","18-00500"
"061942-0049-06","510-2017-00261"
"099200-0120    .001","16 cv 8030"
"031024-0121-01","19-3891"
"067326-0024.003","655848/17"
"107742-0001-02","0812229"
"MI Temp. Holding","0:14-cv-60580"
"105584-0002-01","312016CA000279"
"008742-0028-04","17C-2016-00579"
"067654-0960-001","1:15-cv-11032"
"063784-0345-02","2019-00592"
"026723-0226-313","013944"
"115446-","EC067980"
"114053-0001-01","16-1867"
"117298-0001-03","19-1644"
"060525-3009","106,004"
"115202-0008","17-06421"
"088888-1130.02","16-01128"
"037492-0085","1:15-cv-01372"
"052776-0226.006","480-2018-04346"
"049673-0020.004","15-2315 MEJ"
"039408-1643-03","674 WDA 2019"
"026723-0226-082","17-0202"
"068810-0000-01","10174280"
"061942-0000-03"," 524-2016-00874"
"068695-0124-12","17-C-250"
"011235-0004 (3)","13 cv 10800"
"SM Test Case","this is a test for case number."
"020787-0001-13","12.12.16 Trial Setting"
"099200-0127.007","16 cv 3958"
"107742-0001-07","2:14-cv-09085"
"068695-0124-19","18-c-3"
"000032-006","19-24681"
"121446-0004-01","18-24180"
"007054-0055-02","01-CA-220463"
"025795-0175.003","120402182"
"104685-0002.01","555-2019-01983"
"068068-0082","30-2014-0072644"
"013746-0005-03","846-2016-19479"
"000728-0002-01","A1901405"
"101255-0018.001","653064/15"
"101220-0002","16-3574"
"051078-0289.001","17cv6258"
"026723-0226-198","17-2804"
"028581-0095-09","17-02296"
"097052-0111 (3)","BC635681"
"111452-0011.001","653172/18"
"049673-0022-01","530-2016-00243"
"010601-0004","12 cv 1250"
"009974-1475.001","15-865"
"097042-0044","100274/13"
"118317-0002-01","19-00017"
"104134-0006.001","654585/19"
"007054-0115","14-cv-08758"
"001482-0000-05","451-2017-01223"
"058074-0363-01","17-cv-00969"
"103971-0121.001","17-cv-01254"
"026723-0226-201","18-5021"
"122601-0001-01","2477"
"026723-0226-08","18-cv-5247"
"068695-0124-59","SUV2018000119"
"107742-0001-03","09-cv-0948-CKK"
"026723-0226-131","EF2018-0008"
"049065-0372-02","01-15-0006-0690"
"063784-0345-03","2019-00594"
"055089-0074-01","247015"
"004056-0162-01","AC 42779"
"068695-0124-94","C-02-CV-18-000021"
"105486-0000-02","511-2016-02253"
"104267-0011-05","18-1946"
"039821-0500-01","19-11101"
"107063-0009.001","18-cv-10696"
"026723-0226-171","2017-L-013180"
"026723-0226-143","24-C-18-000515"
"119162-0001-02","FST-CV17-6032651-S"
"102611-0008","14 cv 5683"
"026723-0226-180","17-0713"
"026723-0226-129","2018L7"
"009532-1893","RG17866149"
"060120-0001-03","CACE16-001626"
"051439-0305","WC-632-0213-FOS"
"026723-0226-142","31 178-C 22.848"
"102838-3001","3:14-cv-05197-MEJ"
"PH Temp. Holding (98)","18-02132"
"PH Temp. Holding (07)","2015-091-R"
"049673-0884-01","19-cv-01212"
"107045-0000-01","01-18-0000-9201"
"112177-0012.001","18 cv 10855"
"068695-0124-70"," 2018CP1100503"
"026723-0226-051","17-4757"
"058074-0009-08","13-2010-CA-025384"
"109463-0005-01","14-05599"
"107120-0071-01","17-cv-1825"
"058074-0009-02","42052"
"061942-0049-07","410-2016-05958"
"026723-0226-006","17-0168"
